player,current_mmr,peak_mmr,matches_played,wins,losses,draws,goals,assists,passes,saves,win_rate,goals_per_match,assists_per_match,passes_per_match,saves_per_match,winstreak,lossstreak
BB_Player_001,1212.0,1212.0,9,6,3,0,7,1,28,0,0.6666666666666666,0.7777777777777778,0.1111111111111111,3.111111111111111,0.0,2,0
BB_Player_003,1925.0,2042.5,527,313,213,1,723,239,2502,444,0.5939278937381404,1.3719165085388993,0.45351043643263755,4.7476280834914615,0.8425047438330171,2,0
BB_Player_004,1000.0,1776.0,179,96,82,1,284,53,689,27,0.5363128491620112,1.5865921787709498,0.29608938547486036,3.8491620111731844,0.15083798882681565,0,0
BB_Player_005,1187.0,1187.0,12,7,5,0,4,4,35,14,0.5833333333333334,0.3333333333333333,0.3333333333333333,2.9166666666666665,1.1666666666666667,1,0
BB_Player_006,1752.0,1761.0,206,90,97,19,112,81,885,151,0.4368932038834951,0.5436893203883495,0.3932038834951456,4.296116504854369,0.7330097087378641,1,0
BB_Player_007,1035.0,1035.0,2,1,1,0,1,1,4,0,0.5,0.5,0.5,2.0,0.0,1,0
BB_Player_010,1111.5,1111.5,15,6,9,0,10,2,24,5,0.4,0.6666666666666666,0.13333333333333333,1.6,0.3333333333333333,2,0
BB_Player_012,1721.5,1778.5,272,115,140,17,30,68,1062,504,0.4227941176470588,0.11029411764705882,0.25,3.9044117647058822,1.8529411764705883,1,0
BB_Player_019,1000.0,1580.0,240,81,133,26,6,31,857,640,0.3375,0.025,0.12916666666666668,3.5708333333333333,2.6666666666666665,0,5
BB_Player_022,999.0,999.0,1,0,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1
BB_Player_027,1618.5,1733.5,443,169,253,21,53,115,1818,689,0.38148984198645597,0.11963882618510158,0.2595936794582393,4.1038374717832955,1.5553047404063205,0,1
BB_Player_031,1297.0,1297.0,23,11,10,2,9,12,64,8,0.4782608695652174,0.391304347826087,0.5217391304347826,2.782608695652174,0.34782608695652173,1,0
BB_Player_037,1008.0,1019.0,3,1,2,0,0,2,9,1,0.3333333333333333,0.0,0.6666666666666666,3.0,0.3333333333333333,0,2
BB_Player_038,1515.0,1620.0,68,29,39,0,11,21,274,105,0.4264705882352941,0.16176470588235295,0.3088235294117647,4.029411764705882,1.5441176470588236,0,4
BB_Player_039,1104.5,1111.0,9,4,4,1,0,1,32,13,0.4444444444444444,0.0,0.1111111111111111,3.5555555555555554,1.4444444444444444,0,3
BB_Player_041,1042.5,1042.5,3,1,1,1,0,0,8,3,0.3333333333333333,0.0,0.0,2.6666666666666665,1.0,0,1
BB_Player_043,1657.5,1707.5,392,170,190,32,324,137,1744,53,0.4336734693877551,0.826530612244898,0.3494897959183674,4.448979591836735,0.13520408163265307,2,0
BB_Player_044,1631.5,1675.5,224,85,124,15,11,47,884,417,0.3794642857142857,0.049107142857142856,0.20982142857142858,3.9464285714285716,1.8616071428571428,0,4
BB_Player_046,1026.0,1030.0,3,1,1,1,0,0,7,0,0.3333333333333333,0.0,0.0,2.3333333333333335,0.0,0,1
BB_Player_047,1268.0,1268.0,18,12,4,2,2,11,74,19,0.6666666666666666,0.1111111111111111,0.6111111111111112,4.111111111111111,1.0555555555555556,7,0
BB_Player_049,995.0,997.0,2,0,2,0,0,0,9,0,0.0,0.0,0.0,4.5,0.0,0,2
BB_Player_050,1650.5,1653.5,294,110,166,18,52,72,1088,490,0.3741496598639456,0.17687074829931973,0.24489795918367346,3.7006802721088436,1.6666666666666667,1,0
BB_Player_052,1121.0,1121.0,7,4,3,0,7,2,21,0,0.5714285714285714,1.0,0.2857142857142857,3.0,0.0,2,0
BB_Player_054,1072.0,1085.0,9,5,4,0,6,2,38,2,0.5555555555555556,0.6666666666666666,0.2222222222222222,4.222222222222222,0.2222222222222222,0,2
BB_Player_058,1438.0,1477.0,99,34,59,6,80,16,133,22,0.3434343434343434,0.8080808080808081,0.16161616161616163,1.3434343434343434,0.2222222222222222,1,0
BB_Player_061,1034.0,1034.0,2,2,0,0,0,0,2,0,1.0,0.0,0.0,1.0,0.0,2,0
BB_Player_062,1492.5,1520.5,40,20,19,1,1,10,121,96,0.5,0.025,0.25,3.025,2.4,4,0
BB_Player_063,1624.0,1809.0,507,227,280,0,176,169,2382,785,0.4477317554240631,0.34714003944773175,0.3333333333333333,4.6982248520710055,1.5483234714003944,2,0
BB_Player_067,998.0,1000.0,1,0,1,0,0,0,4,0,0.0,0.0,0.0,4.0,0.0,0,1
BB_Player_068,1744.5,1837.5,270,139,127,4,362,111,1086,26,0.5148148148148148,1.3407407407407408,0.4111111111111111,4.022222222222222,0.0962962962962963,1,0
BB_Player_069,1698.0,1698.0,303,121,166,16,119,98,1211,223,0.39933993399339934,0.3927392739273927,0.3234323432343234,3.9966996699669965,0.735973597359736,1,0
BB_Player_072,1200.0,1200.0,18,12,6,0,18,7,51,1,0.6666666666666666,1.0,0.3888888888888889,2.8333333333333335,0.05555555555555555,1,0
BB_Player_073,1375.0,1399.5,27,16,11,0,16,3,54,22,0.5925925925925926,0.5925925925925926,0.1111111111111111,2.0,0.8148148148148148,0,4
BB_Player_074,1452.0,1459.0,30,20,10,0,4,12,144,68,0.6666666666666666,0.13333333333333333,0.4,4.8,2.2666666666666666,0,1
BB_Player_078,1735.5,1828.5,455,203,240,12,69,259,2240,256,0.4461538461538462,0.15164835164835164,0.5692307692307692,4.923076923076923,0.5626373626373626,1,0
