,current_mmr,matches_played,wins,losses,draws,goals,assists,saves,win_rate,goals_per_match,assists_per_match,saves_per_match
current_mmr,1.0,0.7842781139775677,0.7827437313516759,0.7796169210543299,0.7093349503790463,0.6288742259815444,0.7110736130159447,0.4620496248154365,-0.12669161446680793,0.2600141621324441,0.1033980227778446,0.03009173767470022
matches_played,0.7842781139775677,1.0,0.9943148617329991,0.9941887742714671,0.9322622627065852,0.8086600026895545,0.9263252282721178,0.6160184724899996,-0.0885462992847154,0.19822469289692154,0.14025156907515027,0.07275872095802001
wins,0.7827437313516759,0.9943148617329991,1.0,0.978588310874721,0.9156976042404845,0.8220039693761219,0.9544904593889318,0.5781475234036001,-0.06744202782674003,0.2118818463920418,0.16225515992101505,0.04707294272041914
losses,0.7796169210543299,0.9941887742714671,0.978588310874721,1.0,0.918282923681827,0.8013558340023084,0.8903816138686053,0.6434740938872329,-0.1054056894865163,0.18730575817931036,0.11770297585327663,0.0969390009399809
draws,0.7093349503790463,0.9322622627065852,0.9156976042404845,0.918282923681827,1.0,0.65692126233287,0.8396680683554857,0.6000458995661595,-0.1063171516232557,0.15257852067005637,0.12086390235646577,0.07572073538041407
goals,0.6288742259815444,0.8086600026895545,0.8220039693761219,0.8013558340023084,0.65692126233287,1.0,0.8426934907133256,0.24207849189891503,-0.04275474562866823,0.43260139859515667,0.18479661361826064,-0.13002027990699905
assists,0.7110736130159447,0.9263252282721178,0.9544904593889318,0.8903816138686053,0.8396680683554857,0.8426934907133256,1.0,0.3576117935202711,-0.031445730902567415,0.26002324359963097,0.23604513316979323,-0.09150163327054099
saves,0.4620496248154365,0.6160184724899996,0.5781475234036001,0.6434740938872329,0.6000458995661595,0.24207849189891503,0.3576117935202711,1.0,-0.09561292041418942,-0.11217244464400251,-0.06778775527496626,0.46466513438286294
win_rate,-0.12669161446680793,-0.0885462992847154,-0.06744202782674003,-0.1054056894865163,-0.1063171516232557,-0.04275474562866823,-0.031445730902567415,-0.09561292041418942,1.0,0.03279138544167986,0.1557273162459873,-0.029036322225020034
goals_per_match,0.2600141621324441,0.19822469289692154,0.2118818463920418,0.18730575817931036,0.15257852067005637,0.43260139859515667,0.26002324359963097,-0.11217244464400251,0.03279138544167986,1.0,0.15564214346092062,-0.3786593097915678
assists_per_match,0.1033980227778446,0.14025156907515027,0.16225515992101505,0.11770297585327663,0.12086390235646577,0.18479661361826064,0.23604513316979323,-0.06778775527496626,0.1557273162459873,0.15564214346092062,1.0,-0.3289293315527859
saves_per_match,0.03009173767470022,0.07275872095802001,0.04707294272041914,0.0969390009399809,0.07572073538041407,-0.13002027990699905,-0.09150163327054099,0.46466513438286294,-0.029036322225020034,-0.3786593097915678,-0.3289293315527859,1.0
