,dataset,player,current_mmr,win_rate,matches_played,outlier_score
52,Community A,Player_084,600.0,1.0,1,3.881908247878517
87,Community A,Player_152,600.0,1.0,1,3.881908247878517
5,Community A,Player_010,620.0,1.0,2,3.846036225618716
3,Community A,Player_006,635.0,1.0,1,3.8191322089238655
4,Community A,Player_009,600.0,0.875,8,3.2757510060946853
90,Community A,Player_155,625.0,0.8333333333333334,6,3.0288585643419905
11,Community A,Player_018,1077.0,1.0,2,3.0263605169822645
22,Community A,Player_037,1110.0,1.0,3,2.9671716802535935
59,Community A,Player_093,750.0,0.8333333333333334,6,2.8046584252182347
65,Community A,Player_104,1088.0,0.9166666666666666,12,2.6025260768834864
73,Community B,BB_Player_185,1000.0,1.0,1,3.1444286918904107
76,Community B,BB_Player_195,1000.0,1.0,1,3.1444286918904107
60,Community B,BB_Player_150,1028.0,1.0,1,3.051433451551862
36,Community B,BB_Player_080,1032.0,1.0,1,3.0381484172177835
46,Community B,BB_Player_116,1033.0,1.0,1,3.034827158634264
25,Community B,BB_Player_061,1034.0,1.0,2,3.0315059000507443
45,Community B,BB_Player_115,1038.0,1.0,2,3.0182208657166663
53,Community B,BB_Player_129,1042.0,1.0,2,3.004935831382588
54,Community B,BB_Player_130,1061.0,1.0,3,2.9418319182957156
72,Community B,BB_Player_182,1127.0,1.0,4,2.7226288517834223
