day_bin,mmr
0,1060.5671506352087
1,1130.9591141396934
2,1230.6765734265734
3,1193.3187613843352
4,1286.0671641791046
5,1316.8844537815125
6,1344.5253456221199
7,1316.1747368421052
8,1329.2695417789757
9,1386.595744680851
10,1426.7366412213742
11,1485.3476070528968
12,1472.4084507042253
13,1527.9670588235294
14,1290.0859375
15,1530.8912579957357
16,1606.641095890411
17,1593.822075782537
18,1648.0533980582525
19,1703.5398936170213
20,1580.235294117647
21,1432.75
22,1523.7003745318352
23,1622.8818897637796
24,1667.593533487298
25,1656.0776699029127
26,1604.3962264150944
27,1697.2478991596638
28,1575.142857142857
29,1654.13698630137
30,1641.5640138408305
31,1698.9545454545455
32,1708.095923261391
33,1733.2686274509804
34,1767.4632206759443
35,1751.8537074148296
36,1713.646551724138
37,1851.7536842105262
38,1840.7221172022685
39,1823.173144876325
40,1856.6033519553073
41,1883.7204724409448
42,1870.509090909091
43,1942.1260364842453
44,1936.4435946462715
45,1952.8692810457517
46,2021.396265560166
47,2091.1880877742947
48,2110.55737704918
49,2126.0787401574803
50,2044.2857142857142
