,dataset,player,count,mean,std,min,max,mmr_swing
0,Community A,Player_002,210,1402.9,287.849931828355,840.0,1907.0,1067.0
1,Community A,Player_004,34,1310.735294117647,222.49648397950958,1017.0,1626.0,609.0
2,Community A,Player_005,7,814.5714285714286,54.35640760406309,736.0,893.0,157.0
3,Community A,Player_006,1,635.0,,635.0,635.0,0.0
4,Community A,Player_010,2,615.0,7.0710678118654755,610.0,620.0,10.0
5,Community A,Player_011,3,624.3333333333334,5.507570547286092,618.0,628.0,10.0
6,Community A,Player_012,312,1423.1153846153845,255.6130883821546,851.0,1826.0,975.0
7,Community A,Player_015,2,636.5,57.27564927611035,596.0,677.0,81.0
8,Community A,Player_018,2,1058.0,26.870057685088806,1039.0,1077.0,38.0
9,Community A,Player_019,208,1394.1009615384614,259.85083866818485,786.0,1864.0,1078.0
10,Community A,Player_020,54,1346.7592592592594,169.10406923963478,989.0,1526.0,537.0
11,Community A,Player_021,7,889.7142857142857,12.86745618105727,870.0,908.0,38.0
12,Community A,Player_023,737,1657.0610583446405,260.3178456765548,1122.0,2213.0,1091.0
13,Community A,Player_025,467,1494.184154175589,328.0028726541908,900.0,2115.0,1215.0
14,Community A,Player_026,260,1489.0076923076922,286.98905569257886,695.0,1960.0,1265.0
15,Community A,Player_027,66,1339.7121212121212,173.4574002369737,1036.0,1694.0,658.0
16,Community A,Player_030,561,1503.5436720142602,282.2326901564041,936.0,2167.0,1231.0
17,Community A,Player_036,456,1454.4429824561403,232.8862124528766,732.0,1894.0,1162.0
18,Community A,Player_037,3,1074.3333333333333,36.004629331980844,1038.0,1110.0,72.0
19,Community A,Player_042,150,1603.2933333333333,288.3068962030051,1133.0,2098.0,965.0
20,Community A,Player_044,1551,1720.0490006447453,279.1712045830573,1054.0,2317.0,1263.0
21,Community A,Player_045,14,1073.2857142857142,81.72225812180832,987.0,1220.0,233.0
22,Community A,Player_046,1,989.0,,989.0,989.0,0.0
23,Community A,Player_048,2,985.0,7.0710678118654755,980.0,990.0,10.0
24,Community A,Player_052,268,1348.3320895522388,210.43948523015356,735.0,1624.0,889.0
25,Community A,Player_054,659,1718.6949924127466,277.78855227909855,1176.0,2188.0,1012.0
