,dataset,feature,mean,median,std,min,max
0,Community A,current_mmr,1387.6355140186915,1462.0,560.1612872945253,600.0,2635.0
1,Community A,matches_played,323.3644859813084,65.0,449.41398724828656,1.0,2012.0
2,Community A,win_rate,0.4908078005391804,0.4634146341463415,0.20718755775908412,0.0,1.0
3,Community A,goals_per_match,0.4319532975380544,0.3739376770538243,0.4029878246294999,0.0,2.0
4,Community A,assists_per_match,0.31160449706889226,0.2774869109947644,0.31737659990590666,0.0,2.0
5,Community A,saves_per_match,0.845972078968033,0.3333333333333333,1.0924085568701611,0.0,6.0
6,Community B,current_mmr,1329.639175257732,1231.5,302.65479632905107,992.5,1979.5
7,Community B,matches_played,140.8556701030928,27.0,216.8460470438802,1.0,1134.0
8,Community B,win_rate,0.5278319404602801,0.4935064935064935,0.2315662450523759,0.0,1.0
9,Community B,goals_per_match,0.486429800204656,0.3695652173913043,0.5098891892612576,0.0,2.006423982869379
10,Community B,assists_per_match,0.2996921683897434,0.2857142857142857,0.273542705216436,0.0,2.0
11,Community B,saves_per_match,0.6835191220579185,0.4,0.7548832144255279,0.0,3.0
